"Nansen, Peter",Samlede Skrifter, Bd. 1: Julies Dagbog, Maria, Guds Fred,"Gyldendal, [København], 1908-09",004175732:01,texts/nansen01tom.xml,https://tekster.kb.dk/text/adl-texts-nansen01tom-root,
"Claussen, Sophus",Sophus Claussens lyrik, Bd. 4: Danske vers,"Det Danske Sprog- og Litteraturselskab ; Gyldendal, [København], 1982-",001383642:06,texts/claussen06val.xml,https://tekster.kb.dk/text/adl-texts-claussen06val-root,,,
"Kingo, Thomas",Samlede skrifter 7,"Munksgaard, København, 1939-74.",001614819:07,texts/kingo07.xml,https://tekster.kb.dk/text/adl-texts-kingo07-root,,,,
"Michaëlis, Sophus",Giovanna. En Historie fra Staden med de skønne Taarne,", København, 1901",002150314:06,texts/michs_06.xml,https://tekster.kb.dk/text/adl-texts-michs_06-root,,,,
"Steffens, Henrich",Was ich erlebte,"Josef Mar, Breslau, 1840-44",002086960:07,texts/stef07tom.xml,https://tekster.kb.dk/text/adl-texts-stef07tom-root,,,,
"Staffeldt, A. W. Schack von",Samlede digte,"Det Danske Sprog- og Litteraturselskab, København, 2001",002256026:02,texts/staf02tom.xml,https://tekster.kb.dk/text/adl-texts-staf02tom-root,,,,
"Arrebo, Anders", Melodierne i K. Davids Psalter 1627. Med en indledning af Lars Bülow Davidsen samt to melodier udsat for fire stemmer i En Sørgelig Ny Dict 1612. Udg. i transskription med kommentarer af Henrik Glahn. 1981,"Munksgaard, København, 1965-83.",001625930:04,texts/arre04tom.xml,https://tekster.kb.dk/text/adl-texts-arre04tom-root,,,,
"Blicher, Steen Steensen",Udvalgte værker,"Gyldendal, København, 1982-83",001383696:07,texts/blich07.xml,https://tekster.kb.dk/text/adl-texts-blich07-root,,,,
  ,87-00-42402-1,,https://tekster.kb.dk/text/adl-texts--root,,,,,,
  ,87-00-43652-6,,https://tekster.kb.dk/text/adl-texts--root,,,,,,
  ,87-00-4365-4,,https://tekster.kb.dk/text/adl-texts--root,,,,,,
"Hjortø, Knud",Syner,"Det Danske Sprog- og Litteraturselskab, [København], 2003",002896283:01,texts/hjort_01.xml,https://tekster.kb.dk/text/adl-texts-hjort_01-root,,,,
"Hjortø, Knud",Hans Heilums nat,", København, 1924",001915198:14,texts/hjort_14.xml,https://tekster.kb.dk/text/adl-texts-hjort_14-root,,,,
"Bang, Herman",Værker i Mindeudgave,"Gyldendal, København, 1920-1921",001823910:05,texts/bang05val.xml,https://tekster.kb.dk/text/adl-texts-bang05val-root,,,,
"Bang, Herman",Fædra. Brudstykker af et livs historie.,"J.H. Schubothes boghandel. Græbes bogtrykkeri, Kjøbenhavn, 1883",002045299:11,texts/bang11val.xml,https://tekster.kb.dk/text/adl-texts-bang11val-root,,,,
"Steffens, Henrich",Was ich erlebte,"Josef Mar, Breslau, 1840-44",002086960:03,texts/stef03tom.xml,https://tekster.kb.dk/text/adl-texts-stef03tom-root,,,,
"Hertz, Henrik",Udvalgte dramatiske Værker,", København, 1897",002148279:06,texts/hertz06tom.xml,https://tekster.kb.dk/text/adl-texts-hertz06tom-root,,,,
"Drachmann, Holger",Samlede poetiske Skrifter,", Kbh. & Kristiania, 1906-1909",001823907:05,texts/drachmann05tom.xml,https://tekster.kb.dk/text/adl-texts-drachmann05tom-root,,,,
"Sthen, Hans Christensen",En liden Vandrebog,"Det Danske Sprog- og Litteraturselskab, København, 1994",:01,texts/sthen01val.xml,https://tekster.kb.dk/text/adl-texts-sthen01val-root,,,,
